game,winner,team1_score,team2_score
JPN_RUS,JPN,30,10
AUS_FIJ,AUS,39,21
FRA_ARG,FRA,23,21
NZL_RSA,NZL,23,13
ITA_NAM,ITA,47,22
IRE_SCO,IRE,27,3
ENG_TON,ENG,35,3
WAL_GEO,WAL,43,14
ITA_CAN,ITA,48,7
ENG_USA,ENG,45,7
ARG_TON,ARG,28,12
RSA_NAM,RSA,57,3
GEO_URU,GEO,33,7
AUS_WAL,WAL,25,29
SCO_SAM,SCO,34,0
FRA_USA,FRA,33,9
NZL_CAN,NZL,63,0
RSA_ITA,RSA,49,3
ENG_ARG,ENG,39,10
NZL_NAM,NZL,71,9
FRA_TON,FRA,23,21
RSA_CAN,RSA,66,7
ARG_USA,ARG,47,17
WAL_FIJ,WAL,29,17
NZL_ITA,,,
AUS_GEO,AUS,27,8
ENG_FRA,,,
IRE_SAM,IRE,47,5
NAM_CAN,,,
USA_TON,TON,19,31
WAL_URU,WAL,35,13
RUS_SAM,SAM,9,34
FIJ_URU,URU,27,30
JPN_IRE,JPN,19,12
GEO_FIJ,FIJ,10,45
IRE_RUS,IRE,35,0
AUS_URU,AUS,45,10
JPN_SAM,JPN,38,19
SCO_RUS,SCO,61,0
JPN_SCO,JPN,28,21
ENG_AUS,ENG,40,16
WAL_FRA,WAL,20,19
NZL_IRE,NZL,46,14
JPN_RSA,RSA,3,26
ENG_NZL,ENG,19,7
WAL_RSA,RSA,16,19
ENG_RSA,RSA,12,32
NZL_WAL,NZL,40,17
