team_1,team_2,team_1_rank,team_2_rank,venue,weeks_ago,result
RSA,IRE,6,5,Home,797,won
RSA,IRE,6,5,Home,796,won
RSA,WAL,6,8,Home,795,won
RSA,NZL,5,1,Away,791,lost
RSA,AUS,5,2,Away,790,lost
RSA,NZL,5,1,Home,788,won
RSA,AUS,5,2,Home,787,won
RSA,WAL,5,7,Away,776,won
RSA,IRE,5,6,Away,775,lost
RSA,ENG,5,3,Away,774,lost
RSA,SCO,5,9,Away,773,won
RSA,ARG,5,8,Away,772,won
RSA,URU,3,15,Neutral,745,won
RSA,FRA,3,4,Home,744,lost
RSA,FRA,3,4,Home,743,won
RSA,AUS,3,2,Away,741,lost
RSA,AUS,3,2,Home,739,won
RSA,AUS,3,2,Home,738,won
RSA,NZL,3,1,Home,737,won
RSA,AUS,3,2,Away,735,won
RSA,NZL,3,1,Away,734,lost
RSA,ARG,2,8,Away,724,won
RSA,WAL,2,5,Away,722,won
RSA,FRA,2,4,Away,721,lost
RSA,SCO,2,8,Home,693,won
RSA,SCO,2,8,Home,692,won
RSA,FRA,2,3,Home,691,lost
RSA,AUS,3,4,Away,688,lost
RSA,NZL,3,1,Away,687,lost
RSA,AUS,3,4,Away,685,lost
RSA,NZL,3,1,Home,682,lost
RSA,NZL,3,1,Home,681,won
RSA,AUS,3,4,Home,680,won
RSA,IRE,3,5,Away,671,lost
RSA,ENG,3,6,Away,670,lost
RSA,ENG,3,6,Away,669,won
RSA,ENG,5,6,Home,643,won
RSA,ENG,5,6,Home,642,won
RSA,SAM,5,11,Home,641,won
RSA,AUS,5,3,Home,640,won
RSA,NZL,5,1,Home,639,lost
RSA,AUS,3,4,Away,637,lost
RSA,NZL,3,1,Away,636,lost
RSA,NAM,3,25,Home,631,won
RSA,SCO,3,11,Away,630,won
RSA,SAM,3,10,Neutral,628,won
RSA,ENG,3,7,Neutral,627,won
RSA,TON,3,15,Neutral,626,won
RSA,USA,3,14,Neutral,625,won
RSA,FIJ,3,9,Neutral,624,won
RSA,ARG,3,4,Neutral,623,won
RSA,ENG,3,6,Neutral,622,won
RSA,WAL,3,10,Away,617,won
RSA,WAL,1,6,Home,589,won
RSA,WAL,1,6,Home,588,won
RSA,ITA,1,11,Home,587,won
RSA,NZL,1,2,Away,585,lost
RSA,NZL,1,2,Away,584,won
RSA,AUS,1,3,Away,583,lost
RSA,ARG,1,4,Home,580,won
RSA,NZL,1,2,Home,579,lost
RSA,AUS,1,3,Home,578,lost
RSA,AUS,1,3,Home,577,won
RSA,WAL,2,6,Away,567,won
RSA,SCO,2,9,Away,566,won
RSA,ENG,2,5,Away,565,won
RSA,NZL,2,1,Home,530,won
RSA,NZL,2,1,Home,529,won
RSA,AUS,2,3,Home,528,won
RSA,AUS,2,3,Away,525,won
RSA,AUS,2,3,Away,524,lost
RSA,NZL,2,1,Away,523,won
RSA,FRA,1,5,Away,514,lost
RSA,ITA,1,12,Away,513,won
RSA,IRE,1,4,Away,512,lost
RSA,WAL,2,8,Away,485,won
RSA,FRA,2,4,Home,484,won
RSA,ITA,2,11,Home,483,won
RSA,ITA,2,11,Neutral,482,won
RSA,NZL,2,1,Away,480,lost
RSA,NZL,2,1,Away,479,lost
RSA,AUS,2,3,Away,478,lost
RSA,NZL,2,1,Home,474,lost
RSA,AUS,2,3,Home,473,won
RSA,AUS,2,3,Home,472,lost
RSA,IRE,3,5,Away,463,won
RSA,WAL,3,9,Away,462,won
RSA,SCO,3,7,Away,461,lost
RSA,ENG,3,6,Away,460,won
RSA,AUS,3,2,Away,426,lost
RSA,NZL,3,1,Away,425,lost
RSA,AUS,3,2,Home,423,lost
RSA,NZL,3,1,Home,422,won
RSA,WAL,3,7,Neutral,419,won
RSA,FIJ,3,10,Neutral,418,won
RSA,NAM,3,20,Neutral,417,won
RSA,SAM,3,11,Neutral,416,won
RSA,AUS,2,3,Neutral,415,lost
RSA,ENG,3,4,Home,380,won
RSA,ENG,3,4,Home,379,won
RSA,ENG,3,4,Home,378,lost
RSA,ARG,3,8,Home,370,won
RSA,ARG,3,8,Away,369,lost
RSA,AUS,3,2,Away,367,lost
RSA,NZL,3,1,Away,366,lost
RSA,AUS,3,2,Home,364,won
RSA,NZL,2,1,Home,363,lost
RSA,IRE,2,7,Away,358,won
RSA,SCO,2,9,Away,357,won
RSA,ENG,2,4,Away,356,won
RSA,ITA,2,12,Home,328,won
RSA,SCO,2,10,Home,327,won
RSA,SAM,2,7,Home,326,won
RSA,ARG,2,10,Home,318,won
RSA,ARG,2,10,Away,317,won
RSA,AUS,2,3,Away,315,won
RSA,NZL,2,1,Away,314,lost
RSA,AUS,2,3,Home,312,won
RSA,NZL,2,1,Home,311,lost
RSA,WAL,2,6,Away,306,won
RSA,SCO,2,9,Away,305,won
RSA,FRA,2,5,Away,304,won
RSA,WAL,2,6,Home,275,won
RSA,WAL,2,6,Home,274,won
RSA,SCO,2,10,Home,273,won
RSA,ARG,2,12,Home,266,won
RSA,ARG,2,12,Away,265,won
RSA,AUS,2,3,Away,263,lost
RSA,NZL,2,1,Away,262,lost
RSA,AUS,2,3,Home,260,won
RSA,NZL,2,1,Home,259,won
RSA,IRE,2,5,Away,254,lost
RSA,ENG,2,4,Away,253,won
RSA,ITA,2,14,Away,252,won
RSA,WAL,2,6,Away,251,lost
RSA,AUS,2,6,Away,218,lost
RSA,NZL,2,1,Home,217,lost
RSA,ARG,2,8,Home,215,lost
RSA,ARG,2,8,Away,214,won
RSA,JPN,2,13,Neutral,209,lost
RSA,SAM,2,9,Neutral,208,won
RSA,SCO,5,9,Neutral,207,won
RSA,USA,5,16,Neutral,206,won
RSA,WAL,5,2,Neutral,205,won
RSA,NZL,5,1,Neutral,204,lost
RSA,ARG,5,8,Neutral,203,won
RSA,IRE,3,7,Home,171,lost
RSA,IRE,3,7,Home,170,won
RSA,IRE,3,7,Home,169,won
RSA,ARG,3,9,Home,161,won
RSA,ARG,3,9,Away,160,lost
RSA,AUS,3,4,Away,158,lost
RSA,NZL,3,1,Away,157,lost
RSA,AUS,4,3,Home,155,won
RSA,NZL,4,1,Home,154,lost
RSA,ENG,4,2,Away,149,lost
RSA,ITA,4,13,Away,148,lost
RSA,WAL,4,5,Away,147,lost
