team_1,team_2,cup_match,late_stage,weeks_ago,result
NZL,ITA,1,0,1687,won
AUS,ENG,1,0,1687,won
FRA,SCO,1,0,1687,lost
ROM,ZIM,1,0,1687,won
ARG,FIJ,1,0,1687,lost
USA,JPN,1,0,1687,won
CAN,TON,1,0,1687,won
IRE,WAL,1,0,1686,lost
NZL,FIJ,1,0,1686,won
ARG,ITA,1,0,1686,won
FRA,ROM,1,0,1686,won
WAL,TON,1,0,1686,won
IRE,CAN,1,0,1686,won
ENG,JPN,1,0,1686,won
SCO,ZIM,1,0,1686,won
AUS,USA,1,0,1686,won
FIJ,ITA,1,0,1686,lost
NZL,ARG,1,0,1685,won
SCO,ROM,1,0,1685,won
FRA,ZIM,1,0,1685,won
AUS,JPN,1,0,1685,won
WAL,CAN,1,0,1685,won
ENG,USA,1,0,1685,won
IRE,TON,1,0,1685,won
NZL,SCO,1,1,1685,won
AUS,IRE,1,1,1685,won
FRA,FIJ,1,1,1685,won
ENG,WAL,1,1,1684,lost
AUS,FRA,1,0,1684,lost
NZL,WAL,1,0,1684,won
AUS,WAL,1,0,1683,lost
NZL,FRA,1,1,1683,won
AUS,NZL,0,0,1678,lost
ARG,AUS,0,0,1664,lost
ARG,AUS,0,0,1663,won
FRA,ROM,0,0,1662,won
IRE,SCO,0,0,1653,won
FRA,ENG,0,0,1653,won
SCO,FRA,0,0,1650,won
ENG,WAL,0,0,1650,lost
WAL,SCO,0,0,1648,won
FRA,IRE,0,0,1648,won
SCO,ENG,0,0,1646,lost
IRE,WAL,0,0,1646,lost
WAL,FRA,0,0,1644,lost
ENG,IRE,0,0,1644,won
IRE,ENG,0,0,1639,lost
NZL,WAL,0,0,1634,won
AUS,ENG,0,0,1634,won
NZL,WAL,0,0,1632,won
AUS,ENG,0,0,1632,won
FIJ,ENG,0,0,1631,lost
ARG,FRA,0,0,1631,lost
ARG,FRA,0,0,1630,won
AUS,NZL,0,0,1629,lost
AUS,NZL,0,0,1627,lost
AUS,NZL,0,0,1625,lost
IRE,SAM,0,0,1612,won
ENG,AUS,0,0,1611,won
FRA,ARG,0,0,1611,won
FRA,ARG,0,0,1610,won
WAL,SAM,0,0,1610,won
SCO,AUS,0,0,1609,lost
ROM,FRA,0,0,1608,lost
ITA,AUS,0,0,1607,lost
WAL,ROM,0,0,1606,lost
IRE,ITA,0,0,1603,won
IRE,FRA,0,0,1600,lost
SCO,WAL,0,0,1600,won
ENG,SCO,0,0,1598,lost
WAL,IRE,0,0,1598,lost
IRE,ENG,0,0,1596,lost
FRA,WAL,0,0,1596,won
SCO,IRE,0,0,1594,won
ENG,FRA,0,0,1594,won
WAL,ENG,0,0,1592,won
FRA,SCO,0,0,1592,won
ROM,ENG,0,0,1584,lost
NZL,FRA,0,0,1579,won
ARG,ITA,0,0,1578,won
NZL,FRA,0,0,1577,won
AUS,LIO,0,0,1577,won
AUS,LIO,0,0,1576,lost
NZL,ARG,0,0,1575,won
AUS,LIO,0,0,1575,lost
NZL,ARG,0,0,1573,won
NZL,AUS,0,0,1572,won
RSA,WOR,0,0,1569,won
RSA,WOR,0,0,1568,won
SCO,FIJ,0,0,1560,won
WAL,NZL,0,0,1559,lost
ENG,FIJ,0,0,1559,won
FRA,AUS,0,0,1559,lost
FRA,AUS,0,0,1558,won
IRE,NZL,0,0,1557,lost
SCO,ROM,0,0,1554,won
WAL,FRA,0,0,1548,lost
ENG,IRE,0,0,1548,won
IRE,SCO,0,0,1546,lost
FRA,ENG,0,0,1546,lost
SCO,FRA,0,0,1544,won
ENG,WAL,0,0,1544,won
WAL,SCO,0,0,1542,lost
FRA,IRE,0,0,1542,won
SCO,ENG,0,0,1540,won
IRE,WAL,0,0,1539,won
CAN,ARG,0,0,1538,won
USA,ARG,0,0,1537,lost
FRA,ROM,0,0,1530,lost
NAM,WAL,0,0,1529,lost
AUS,FRA,0,0,1528,won
NAM,WAL,0,0,1528,lost
ARG,CAN,0,0,1527,lost
NZL,SCO,0,0,1527,won
NZL,SCO,0,0,1526,won
AUS,FRA,0,0,1526,won
AUS,FRA,0,0,1525,lost
AUS,USA,0,0,1524,won
NZL,AUS,0,0,1522,won
ARG,ENG,0,0,1521,lost
ARG,ENG,0,0,1520,won
NZL,AUS,0,0,1520,won
NZL,AUS,0,0,1518,lost
ITA,SPA,0,0,1512,won
ITA,ROM,0,0,1511,won
IRE,ARG,0,0,1508,won
ENG,ARG,0,0,1507,won
FRA,NZL,0,0,1507,lost
SCO,ARG,0,0,1506,won
FRA,NZL,0,0,1506,lost
WAL,ENG,0,0,1496,lost
FRA,SCO,0,0,1496,won
IRE,FRA,0,0,1494,lost
SCO,WAL,0,0,1494,won
ENG,SCO,0,0,1492,won
WAL,IRE,0,0,1492,lost
IRE,ENG,0,0,1490,lost
FRA,WAL,0,0,1490,won
SCO,IRE,0,0,1488,won
ENG,FRA,0,0,1488,won
ROM,FRA,0,0,1474,lost
ARG,NZL,0,0,1472,lost
USA,FRA,0,0,1471,lost
ARG,NZL,0,0,1471,lost
USA,FRA,0,0,1470,lost
NAM,IRE,0,0,1470,won
FIJ,ENG,0,0,1470,lost
AUS,WAL,0,0,1469,won
AUS,ENG,0,0,1469,won
NAM,IRE,0,0,1469,won
AUS,NZL,0,0,1467,won
NZL,AUS,0,0,1465,won
ROM,SCO,0,0,1464,won
WAL,FRA,0,0,1463,lost
ENG,NZL,1,0,1459,lost
