team1_name,team2_name,team1_odds,team2_odds,date
Wales,Georgia,1.001,16.00,2019-09-23
Russia,Samoa,17.00,1.01,2019-09-23
Fiji,Uruguay,1.001,19.00,2019-09-23
Italy,Canada,1.05,8.40,2019-09-23
England,USA,1.001,31.00,2019-09-23
Argentina,Tonga,1.04,9.00,2019-09-23
Japan,Ireland,7.30,1.07,2019-09-23
South Africa,Namibia,1.001,151,2019-09-23
Georgia,Uruguay,1.10,6.30,2019-09-23
Australia,Wales,2.10,1.67,2019-09-23
Scotland,Samoa,1.06,8.00,2019-09-23
France,USA,1.01,15.00,2019-09-23
New Zealand,Canada,1.001,151,2019-09-23
Georgia,Fiji,4.05,1.21,2019-09-23
Ireland,Russia,1.001,81.00,2019-09-23
South Africa,Italy,1.02,13.00,2019-09-23
Australia,Uruguay,1.001,41.00,2019-09-23
England,Argentina,1.18,4.40,2019-09-23
Japan,Samoa,1.18,4.50,2019-09-23
New Zealand,Namibia,1.001,151,2019-09-23
France,Tonga,1.01,12.00,2019-09-23
South Africa,Canada,1.001,51.00,2019-09-23
Argentina,USA,1.03,10.00,2019-09-23
Scotland,Russia,1.001,51.00,2019-09-23
Wales,Fiji,1.12,5.65,2019-09-23
New Zealand,Italy,1.001,26.00,2019-09-23
Australia,Georgia,1.02,11.00,2019-09-23
England,France,1.31,3.20,2019-09-23
Ireland,Samoa,1.01,15.00,2019-09-23
Namibia,Canada,2.30,1.56,2019-09-23
USA,Tonga,2.50,1.48,2019-09-23
Wales,Uruguay,1.001,61.00,2019-09-23
Japan,Scotland,3.35,1.29,2019-09-23
